feature,importance
engagement_score,0.13199852243860294
return_rate_estimate,0.1180160294187593
click_purchase_ratio,0.11069192962454634
category_concentration,0.0746124052485795
engagement_depth,0.06494436879341713
category_loyalty,0.06431245699316222
category_diversity,0.04589467386136242
engagement_consistency,0.045156384733503314
unique_products,0.04376744931870759
price_sensitivity,0.043757331512849135
num_categories,0.04341284387177007
price_preference_strength,0.042452529368460064
avg_price,0.03241750887571518
interaction_frequency,0.025603415659138037
avg_views,0.023161153487318665
total_clicks,0.02111708274552716
visit_time_per_product,0.018924706320666923
total_visit_time,0.01884857293406642
time_per_click,0.015901271166250834
time_efficiency,0.015009363627596813
